locus_tag	Lygos_24_1A	Lygos_24_1B	Lygos_24_2A	Lygos_24_2B	Lygos_48_1A	Lygos_48_1B	Lygos_48_2A	Lygos_48_2B
BOH78_3352	11.0	9.0	11.0	11.0	14.0	3.0	12.0	3.0
BOH78_3359	17.0	12.0	20.0	13.0	23.0	11.0	15.0	12.0
BOH78_3379					1.0			
BOH78_3378	6.0	6.0	4.0	3.0	4.0	4.0	3.0	5.0
BOH78_3372	9.0	7.0	5.0	6.0	9.0	8.0	4.0	5.0
BOH78_3371	10.0	7.0	4.0	4.0	7.0	12.0	2.0	1.0
BOH78_3370	3.0	4.0	9.0	8.0	2.0	3.0	4.0	8.0
BOH78_3377	2.0	3.0	6.0	6.0	3.0	3.0	2.0	3.0
BOH78_3375							1.0	
BOH78_3391	2.0	2.0	2.0	3.0	2.0	3.0	5.0	3.0
BOH78_3393	2.0	3.0	5.0	8.0	2.0	3.0	4.0	8.0
BOH78_3392	3.0	2.0	2.0	3.0	5.0		3.0	2.0
BOH78_3395				1.0		1.0		
BOH78_3394	21.0	12.0	12.0	12.0	24.0	14.0	18.0	13.0
BOH78_3396	4.0	2.0	6.0	7.0	7.0	4.0	3.0	3.0
BOH78_3398	10.0	4.0	4.0	6.0	12.0	3.0	9.0	3.0
BOH78_3347	10.0	10.0	13.0	10.0	8.0	7.0	10.0	10.0
BOH78_3309			1.0					
BOH78_3303	1.0		3.0	1.0	2.0	2.0	2.0	1.0
BOH78_3306			1.0				3.0	1.0
BOH78_3307							1.0	
BOH78_3321				1.0				
BOH78_3323	16.0	21.0	17.0	20.0	13.0	15.0	15.0	16.0
BOH78_3324	1.0				1.0		1.0	2.0
BOH78_3325	26.0	19.0	24.0	26.0	30.0	22.0	22.0	20.0
BOH78_3326	1.0	1.0	2.0	2.0	3.0	3.0	1.0	2.0
BOH78_3327	1.0		1.0	1.0			1.0	
BOH78_3328	4.0	2.0	7.0	6.0	2.0	3.0	4.0	7.0
BOH78_3346	11.0	10.0	11.0	11.0	10.0	9.0	8.0	7.0
BOH78_3344	3.0	3.0	6.0	3.0	5.0		5.0	5.0
BOH78_3345			1.0		1.0			
BOH78_3342				1.0				
BOH78_3343	5.0	2.0	3.0	4.0	3.0	2.0	3.0	3.0
BOH78_3368	1.0		1.0	1.0	1.0	1.0		
BOH78_3364	3.0			2.0	2.0		3.0	3.0
BOH78_3365			1.0					
BOH78_3367					1.0			
BOH78_3361	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
BOH78_3362	3.0	3.0	6.0	5.0	4.0	2.0	2.0	3.0
BOH78_3363			1.0				2.0	
BOH78_3196	9.0	6.0	4.0	2.0	12.0	6.0	7.0	3.0
BOH78_3194					1.0			
BOH78_3193				1.0	1.0			
BOH78_3192	1.0	4.0	6.0	4.0	8.0	3.0	3.0	3.0
BOH78_3191		1.0						
BOH78_3178	3.0	3.0	4.0	3.0			2.0	
BOH78_3175	2.0	2.0	4.0	2.0	5.0	2.0	4.0	2.0
