locus_tag	Lygos_24_1A	Lygos_24_1B	Lygos_24_2A	Lygos_24_2B	Lygos_48_1A	Lygos_48_1B	Lygos_48_2A	Lygos_48_2B
BOH78_2770	2.0		3.0	1.0	2.0		1.0	2.0
BOH78_2771	3.0	3.0	1.0	2.0	4.0	1.0	1.0	
BOH78_2774	9.0	9.0	7.0	7.0	11.0	9.0	3.0	5.0
BOH78_2775			1.0		1.0			
BOH78_2778	11.0	3.0	10.0	10.0	7.0	6.0	10.0	6.0
BOH78_2779	37.0	30.0	30.0	35.0	28.0	25.0	23.0	29.0
BOH78_2790	13.0	10.0	9.0	16.0	13.0	12.0	9.0	7.0
BOH78_2739	4.0	2.0	5.0	6.0	7.0	1.0	4.0	2.0
BOH78_2734	1.0		2.0	2.0	1.0	3.0	1.0	2.0
BOH78_2735	31.0	25.0	12.0	15.0	33.0	24.0	8.0	7.0
BOH78_2736	27.0	23.0	25.0	22.0	29.0	23.0	17.0	20.0
BOH78_2737	7.0	6.0	6.0	6.0	3.0	6.0	7.0	6.0
BOH78_2802	3.0	1.0	2.0	1.0	6.0	3.0	1.0	2.0
BOH78_2803	1.0		1.0		1.0	1.0		1.0
BOH78_2800	7.0	9.0	8.0	9.0	7.0	5.0	6.0	8.0
BOH78_2801	2.0	1.0	3.0	1.0	2.0	2.0	2.0	2.0
BOH78_2806	10.0	10.0	15.0	14.0	13.0	8.0	12.0	10.0
BOH78_2807	2.0	2.0	5.0	5.0	2.0	2.0	6.0	9.0
BOH78_2804	1.0			1.0	1.0		2.0	
BOH78_2805	4.0	3.0	5.0	2.0	3.0	2.0	4.0	2.0
BOH78_2809					1.0		1.0	
BOH78_2820		1.0	2.0	2.0		1.0	2.0	2.0
BOH78_2822	1.0	1.0	2.0	3.0	2.0		4.0	4.0
BOH78_2824	17.0	11.0	19.0	15.0	20.0	11.0	18.0	15.0
BOH78_2825	7.0	6.0	10.0	5.0	5.0	4.0	8.0	6.0
BOH78_2826	1.0		1.0	1.0	1.0		1.0	
BOH78_2827	7.0	5.0	13.0	10.0	6.0	2.0	13.0	5.0
BOH78_2848	27.0	18.0	28.0	27.0	25.0	18.0	28.0	17.0
BOH78_2847	21.0	10.0	20.0	13.0	23.0	12.0	17.0	5.0
BOH78_2842			1.0					
BOH78_2840	12.0	10.0	12.0	12.0	11.0	10.0	7.0	12.0
BOH78_2841	9.0	2.0	6.0	5.0	11.0	5.0	4.0	8.0
BOH78_2784		1.0	3.0	2.0	3.0	1.0	1.0	
BOH78_2872		1.0						
BOH78_2871	20.0	21.0	27.0	21.0	14.0	19.0	9.0	26.0
BOH78_2867	4.0	6.0	3.0	6.0	3.0	1.0	1.0	1.0
BOH78_2868		1.0	3.0	3.0	3.0	1.0	2.0	2.0
BOH78_2869	2.0	2.0	1.0	2.0			2.0	1.0
BOH78_2749	5.0	2.0	4.0	2.0	8.0	2.0	2.0	1.0
BOH78_2741	5.0	3.0	6.0	5.0	3.0	3.0	2.0	5.0
BOH78_2740								1.0
BOH78_2743						1.0		
BOH78_2742	7.0	4.0	10.0	6.0	8.0	5.0	7.0	2.0
BOH78_2745	5.0	5.0	9.0	7.0	12.0	6.0	11.0	8.0
BOH78_2746	7.0	13.0	9.0	14.0	4.0	9.0	6.0	6.0
BOH78_2769		3.0	1.0	3.0	3.0	2.0	3.0	3.0
BOH78_2768					1.0			
BOH78_2764	5.0	1.0	6.0	6.0	4.0	5.0	5.0	4.0
BOH78_2763	1.0	1.0	3.0	3.0	2.0	3.0	3.0	1.0
BOH78_2762	9.0	10.0	10.0	12.0	14.0	11.0	13.0	12.0
BOH78_2761	4.0	2.0	7.0	3.0	3.0	4.0	5.0	3.0
BOH78_2760	3.0	3.0	2.0	4.0	2.0	3.0	4.0	3.0
BOH78_2864	6.0	4.0	6.0	5.0	6.0	2.0	6.0	4.0
BOH78_2865			1.0		2.0			
BOH78_2866					1.0			
BOH78_2861	20.0	20.0	20.0	20.0	28.0	19.0	14.0	21.0
BOH78_2863	1.0	1.0	2.0		3.0		1.0	
BOH78_2788	16.0	13.0	18.0	18.0	15.0	11.0	21.0	11.0
BOH78_2785	6.0	4.0	4.0	3.0	8.0	5.0	6.0	3.0
BOH78_2787	14.0	4.0	8.0	11.0	17.0	5.0	2.0	5.0
BOH78_2781	5.0	3.0	8.0	6.0	1.0		4.0	2.0
BOH78_2780			1.0	1.0				
BOH78_2811	7.0	2.0	5.0	9.0	6.0	4.0	7.0	4.0
BOH78_2813	3.0	2.0	2.0	2.0	3.0	2.0	2.0	1.0
BOH78_2814				1.0	2.0	1.0	1.0	
BOH78_2817	9.0	10.0	12.0	11.0	11.0	8.0	9.0	12.0
BOH78_2816							2.0	
BOH78_2819	5.0	4.0	3.0	4.0	3.0	4.0	2.0	3.0
BOH78_2818	7.0	5.0	7.0	5.0	5.0	6.0	6.0	7.0
BOH78_2836	12.0	9.0	12.0	11.0	13.0	9.0	7.0	10.0
BOH78_2835	2.0	1.0	4.0	2.0	2.0	2.0	1.0	2.0
BOH78_2834	23.0	21.0	28.0	23.0	24.0	21.0	26.0	27.0
BOH78_2832		3.0	5.0	5.0	1.0		6.0	3.0
BOH78_2831	1.0		1.0	1.0	1.0	1.0		1.0
BOH78_2830	42.0	41.0	40.0	40.0	44.0	38.0	29.0	44.0
BOH78_2838	2.0	3.0	4.0	3.0	1.0		3.0	1.0
BOH78_2859								1.0
BOH78_2858	8.0	5.0	6.0	6.0	10.0	10.0	7.0	7.0
BOH78_2857				2.0				2.0
BOH78_2856	2.0	2.0	2.0	2.0		2.0		1.0
BOH78_2851	9.0	5.0	10.0	11.0	11.0	5.0	9.0	7.0
BOH78_2850					1.0			
BOH78_2796	1.0		2.0	1.0			1.0	1.0
BOH78_2797	3.0	4.0	5.0	4.0	6.0	1.0	6.0	3.0
BOH78_2795	2.0	2.0		2.0			1.0	
BOH78_2792		1.0	4.0	1.0			4.0	1.0
BOH78_2793		1.0					1.0	
BOH78_2870	4.0	3.0	3.0	3.0	3.0	1.0	2.0	3.0
BOH78_2874	7.0	8.0	8.0	7.0	7.0	5.0	5.0	3.0
BOH78_2786							1.0	
BOH78_2783	4.0	2.0	2.0	3.0	4.0	1.0	4.0	2.0
BOH78_2759	1.0						1.0	
BOH78_2751	2.0	3.0	8.0	3.0	2.0	2.0	3.0	2.0
BOH78_2756	1.0	1.0	1.0	1.0	1.0	1.0		
BOH78_2754							1.0	
BOH78_2714	3.0	4.0	5.0	7.0	3.0	2.0	2.0	6.0
BOH78_2715		1.0				1.0		
BOH78_2712	2.0	2.0	2.0	1.0	11.0	2.0	2.0	2.0
BOH78_2713	1.0	1.0	1.0		1.0		1.0	
BOH78_2710	1.0	2.0	2.0	2.0	1.0	2.0	2.0	
BOH78_2718	1.0		1.0	1.0	1.0	1.0		
BOH78_2719						1.0	1.0	
BOH78_2678	4.0	1.0	1.0	2.0	9.0	4.0	2.0	1.0
BOH78_2671	49.0	41.0	43.0	47.0	45.0	37.0	30.0	45.0
BOH78_2673	9.0	8.0	13.0	11.0	5.0	5.0	11.0	7.0
BOH78_2672	2.0	2.0	8.0	5.0	1.0	3.0	6.0	2.0
BOH78_2675				1.0				
BOH78_2677	1.0			1.0	2.0	2.0	2.0	1.0
BOH78_2676	193.0	132.0	180.0	161.0	153.0	125.0	170.0	153.0
BOH78_2657	9.0	5.0	7.0	7.0	9.0	9.0	5.0	4.0
BOH78_2656	11.0	11.0	7.0	9.0	11.0	9.0	8.0	9.0
BOH78_2655	3.0	3.0	4.0	5.0		3.0		1.0
BOH78_2654	16.0	13.0	12.0	20.0	12.0	10.0	7.0	16.0
BOH78_2653							1.0	
BOH78_2651	2.0	2.0	5.0	4.0		1.0	1.0	5.0
BOH78_2650		1.0	1.0	1.0		1.0	1.0	1.0
BOH78_2634			1.0	1.0	1.0		1.0	
BOH78_2637	5.0	3.0	6.0	3.0	3.0	3.0	3.0	4.0
BOH78_2636			2.0	1.0				1.0
BOH78_2631	106.0	83.0	93.0	90.0	112.0	78.0	67.0	81.0
BOH78_2633	11.0	7.0	7.0	7.0	5.0	3.0	1.0	1.0
BOH78_2632				1.0				1.0
BOH78_2638	2.0	5.0	5.0	6.0	4.0	4.0	3.0	3.0
BOH78_2619			2.0					
BOH78_2618	7.0	9.0	8.0	7.0	7.0	8.0	3.0	8.0
BOH78_2613			1.0	2.0		1.0		
BOH78_2612			1.0		2.0	1.0	1.0	
BOH78_2611	4.0	4.0	3.0	5.0	4.0	3.0	3.0	3.0
BOH78_2615	102.0	73.0	93.0	83.0	100.0	79.0	88.0	76.0
BOH78_2614				1.0				
BOH78_2623	25.0	23.0	29.0	28.0	21.0	19.0	29.0	25.0
BOH78_2723	26.0	21.0	23.0	24.0	24.0	18.0	17.0	19.0
BOH78_2727	1.0	1.0	2.0	1.0	2.0	1.0	1.0	
BOH78_2726	14.0	11.0	13.0	9.0	16.0	12.0	12.0	13.0
BOH78_2592	2.0	4.0	3.0	3.0	4.0	2.0	4.0	2.0
BOH78_2593	5.0	5.0	2.0	4.0	1.0	3.0	1.0	5.0
BOH78_2594	1.0	1.0	1.0	1.0	3.0		1.0	
BOH78_2595	7.0	4.0	5.0	8.0	7.0	3.0	6.0	7.0
BOH78_2596	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
BOH78_2597	1.0	1.0		1.0		1.0		1.0
BOH78_2598	12.0	12.0	15.0	21.0	19.0	16.0	14.0	10.0
BOH78_2599	4.0	6.0	6.0	11.0	4.0	2.0	1.0	5.0
BOH78_2693	1.0	4.0	4.0	6.0			2.0	4.0
BOH78_2692	1.0	1.0	1.0	1.0	2.0	1.0	1.0	1.0
BOH78_2691	3.0	2.0	1.0	1.0	4.0	1.0	2.0	1.0
BOH78_2696		1.0	2.0	2.0	1.0		4.0	
BOH78_2695	4.0	2.0	1.0	1.0	3.0	1.0	2.0	1.0
BOH78_2694	15.0	10.0	12.0	13.0	10.0	10.0	10.0	12.0
BOH78_2699	4.0	3.0	2.0	2.0	3.0	4.0	2.0	4.0
BOH78_2698	1.0	1.0	1.0					1.0
BOH78_2705	12.0	9.0	14.0	18.0	12.0	6.0	9.0	11.0
BOH78_2704	1.0		1.0		1.0			
BOH78_2700	7.0	7.0	6.0	5.0	8.0	5.0	2.0	6.0
BOH78_2703	15.0	5.0	13.0	13.0	14.0	9.0	12.0	5.0
BOH78_2708	15.0	13.0	15.0	14.0	15.0	17.0	16.0	17.0
BOH78_2728	2.0	2.0	4.0	3.0	4.0	3.0	4.0	2.0
BOH78_2721	15.0	16.0	12.0	15.0	14.0	14.0	15.0	12.0
BOH78_2668	15.0	10.0	21.0	15.0	25.0	8.0	14.0	9.0
BOH78_2663	6.0	5.0	4.0	6.0	8.0	5.0	3.0	3.0
BOH78_2660	1.0		6.0	5.0	2.0	2.0	3.0	5.0
BOH78_2667	4.0	2.0	4.0	5.0	5.0	5.0	3.0	5.0
BOH78_2664	22.0	19.0	12.0	17.0	17.0	13.0	10.0	12.0
BOH78_2665	7.0	8.0	6.0	6.0	3.0	4.0	4.0	6.0
BOH78_2640							1.0	
BOH78_2643	1.0	1.0		1.0				1.0
BOH78_2644	3.0	2.0	5.0	2.0	5.0	4.0	5.0	3.0
BOH78_2646				1.0				
BOH78_2648				1.0	1.0			
BOH78_2649	169.0	165.0	150.0	157.0	202.0	145.0	109.0	152.0
BOH78_2626	8.0	10.0	10.0	7.0	12.0	10.0	8.0	8.0
BOH78_2627	2.0	1.0	5.0	4.0	7.0	3.0	6.0	1.0
BOH78_2624	2.0	4.0	2.0	3.0		4.0	3.0	2.0
BOH78_2625	1.0		3.0	4.0	3.0	2.0	3.0	2.0
BOH78_2620	1.0	1.0	1.0	2.0	4.0	1.0	3.0	2.0
BOH78_2621	1.0		3.0	2.0	3.0	2.0	2.0	
BOH78_2628		1.0	1.0	1.0	1.0			
BOH78_2629	66.0	53.0	77.0	63.0	71.0	53.0	80.0	49.0
BOH78_2608		1.0	1.0		1.0	1.0	1.0	1.0
BOH78_2604		1.0						
BOH78_2601	11.0	6.0	9.0	11.0	12.0	6.0	5.0	6.0
BOH78_2585	1.0	2.0	2.0	3.0				
BOH78_2583	8.0	3.0	4.0	5.0	9.0	6.0	4.0	4.0
BOH78_2684	8.0	4.0	8.0	6.0	4.0	8.0	9.0	7.0
BOH78_2685	23.0	18.0	24.0	26.0	35.0	23.0	19.0	20.0
BOH78_2686	4.0	3.0	2.0	5.0	2.0	3.0	2.0	4.0
BOH78_2681	9.0	10.0	16.0	17.0	10.0	14.0	13.0	16.0
BOH78_2682	1.0	1.0	1.0	2.0		1.0	2.0	1.0
BOH78_2683	1.0			1.0			2.0	1.0
BOH78_2688	12.0	10.0	12.0	13.0	19.0	9.0	11.0	13.0
BOH78_2689	1.0			2.0	1.0		1.0	1.0
BOH78_2569	8.0	3.0	2.0	5.0	4.0	4.0	2.0	3.0
BOH78_2565	6.0	5.0	8.0	5.0	3.0	4.0	8.0	4.0
BOH78_2564			1.0					
BOH78_2566					1.0			
BOH78_2560				1.0				
BOH78_2563	3.0	1.0	5.0	3.0	1.0	3.0	1.0	2.0
BOH78_2562		1.0						
BOH78_2541	27.0	32.0	24.0	26.0	29.0	28.0	22.0	28.0
BOH78_2549	1.0							
BOH78_2548	5.0	2.0	5.0	6.0		4.0	2.0	6.0
BOH78_2461	1.0	1.0	1.0	1.0			2.0	
BOH78_2463		1.0	1.0	2.0	1.0	1.0	2.0	2.0
BOH78_2486	6.0	7.0	10.0	9.0	8.0	6.0	13.0	8.0
BOH78_2487			2.0	1.0			1.0	
BOH78_2485	1.0		1.0	1.0	1.0		1.0	1.0
BOH78_2482	63.0	64.0	60.0	62.0	73.0	52.0	41.0	56.0
BOH78_2483	2.0	2.0	1.0	2.0	4.0	2.0		
BOH78_2480			1.0	1.0	3.0		2.0	2.0
BOH78_2481	5.0	3.0	7.0	7.0	6.0	5.0	10.0	7.0
BOH78_2488	9.0	5.0	8.0	10.0	6.0	7.0	11.0	8.0
BOH78_2489	4.0	3.0	4.0	3.0	4.0	4.0	3.0	3.0
BOH78_2440	30.0	26.0	32.0	30.0	31.0	21.0	28.0	28.0
BOH78_2447	4.0	1.0	4.0	5.0	4.0	1.0	2.0	3.0
BOH78_2444	1.0					1.0	1.0	
BOH78_2445	5.0		9.0	4.0	3.0	3.0	4.0	4.0
BOH78_2448	2.0	1.0	2.0	1.0		1.0	2.0	1.0
BOH78_2449			1.0	1.0	1.0	2.0	1.0	1.0
BOH78_2464	1.0	2.0	4.0	1.0	4.0	4.0	1.0	1.0
BOH78_2467	4.0	3.0	3.0	4.0	3.0	3.0	4.0	4.0
BOH78_2425			1.0	2.0				
BOH78_2428	8.0	7.0	5.0	9.0	8.0	9.0	7.0	9.0
BOH78_2543	10.0	8.0	6.0	5.0	9.0	4.0	3.0	5.0
BOH78_2438			1.0		1.0			
BOH78_2556	11.0	9.0	16.0	11.0	17.0	11.0	11.0	13.0
BOH78_2536	2.0	1.0			3.0	2.0		
BOH78_2537							1.0	
BOH78_2509	3.0	4.0	4.0	5.0	4.0	3.0	3.0	4.0
BOH78_2508	29.0	22.0	18.0	20.0	24.0	17.0	16.0	14.0
BOH78_2427	1.0	1.0	1.0		1.0	1.0	1.0	
BOH78_2429				1.0			1.0	
BOH78_2518	5.0	3.0	8.0	4.0	3.0	2.0	5.0	3.0
BOH78_2514	2.0	2.0	1.0	2.0	1.0	2.0	1.0	1.0
BOH78_2515							1.0	
BOH78_2528	7.0	5.0	11.0	5.0	4.0	5.0	8.0	4.0
BOH78_2574	2.0	1.0	2.0	1.0			2.0	
BOH78_2572				1.0		1.0		
BOH78_2573	1.0	2.0	2.0	2.0	2.0	2.0	2.0	2.0
BOH78_2571	34.0	25.0	28.0	25.0	32.0	24.0	21.0	21.0
BOH78_2494	2.0	3.0	2.0	6.0	3.0	2.0	3.0	3.0
BOH78_2497	10.0	15.0	24.0	21.0	5.0	14.0	21.0	18.0
BOH78_2491	4.0	1.0	2.0	3.0	2.0	1.0	4.0	2.0
BOH78_2493	1.0	1.0		1.0			1.0	1.0
BOH78_2492	1.0		2.0			2.0	2.0	
BOH78_2499					1.0			
BOH78_2498	6.0	4.0	4.0	3.0	4.0	2.0	1.0	3.0
BOH78_2554	19.0	17.0	18.0	14.0	21.0	18.0	18.0	14.0
BOH78_2555	26.0	28.0	26.0	28.0	25.0	23.0	18.0	22.0
BOH78_2550	45.0	51.0	52.0	54.0	56.0	46.0	58.0	54.0
BOH78_2551	29.0	21.0	20.0	28.0	28.0	19.0	25.0	25.0
BOH78_2553			2.0	1.0	5.0	1.0	1.0	
BOH78_2435	1.0	1.0	1.0	2.0	2.0			1.0
BOH78_2451	1.0	1.0	2.0	3.0	1.0	1.0	1.0	1.0
BOH78_2453	1.0	1.0	2.0	2.0				1.0
BOH78_2452	2.0	1.0	2.0	1.0	4.0	2.0	3.0	2.0
BOH78_2455	16.0	11.0	14.0	15.0	12.0	9.0	12.0	14.0
BOH78_2454	3.0	7.0	7.0	6.0	5.0	4.0	4.0	4.0
BOH78_2476				1.0				
BOH78_2472	4.0	1.0	3.0	3.0	3.0		1.0	1.0
BOH78_2521	3.0	7.0	8.0	10.0	2.0	6.0	3.0	8.0
BOH78_2525	4.0	2.0	7.0	6.0	3.0	3.0	5.0	3.0
BOH78_2524			1.0					
BOH78_2527	4.0	2.0	2.0	2.0	2.0	3.0		3.0
BOH78_2457		1.0	1.0		1.0			1.0
BOH78_2530	1.0	1.0	2.0	2.0	2.0		1.0	1.0
BOH78_2442		1.0			1.0	2.0		
BOH78_2558		1.0		2.0				1.0
BOH78_2559	3.0	4.0	2.0	2.0	2.0	2.0	3.0	5.0
BOH78_2432	16.0	20.0	19.0	13.0	22.0	18.0	18.0	16.0
BOH78_2431		1.0				2.0		
BOH78_2430	29.0	25.0	25.0	25.0	24.0	23.0	16.0	28.0
BOH78_2434					1.0			1.0
BOH78_2500				1.0		1.0		
BOH78_2526	13.0	17.0	14.0	16.0	16.0	15.0	11.0	16.0
BOH78_2477	1.0							
BOH78_2474	10.0	11.0	15.0	14.0	11.0	7.0	13.0	8.0
BOH78_2473	24.0	24.0	28.0	24.0	26.0	20.0	26.0	19.0
BOH78_2471	5.0	5.0	11.0	8.0	4.0	5.0	7.0	9.0
BOH78_2479	2.0	2.0		1.0		2.0		
BOH78_2501	16.0	18.0	13.0	18.0	19.0	12.0	14.0	14.0
BOH78_2534					1.0		2.0	
BOH78_2519	19.0	18.0	25.0	28.0	15.0	16.0	27.0	19.0
BOH78_2510	38.0	33.0	34.0	35.0	34.0	30.0	28.0	30.0
BOH78_2513		3.0			2.0	2.0	1.0	
BOH78_2363	9.0	11.0	13.0	10.0	14.0	12.0	11.0	11.0
BOH78_2362	4.0	1.0	3.0	2.0	2.0	1.0	1.0	2.0
BOH78_2361					1.0		1.0	
BOH78_2367	15.0	25.0	14.0	23.0	19.0	17.0	13.0	15.0
BOH78_2365			1.0					
BOH78_2364	14.0	13.0	10.0	13.0	10.0	11.0	7.0	11.0
BOH78_2281								1.0
BOH78_2418	1.0	1.0	1.0	1.0	2.0	1.0		
BOH78_2415	1.0			1.0			2.0	
BOH78_2414	1.0		1.0					
BOH78_2411					2.0		1.0	
BOH78_2410	16.0	13.0	14.0	11.0	16.0	11.0	10.0	11.0
BOH78_2269	3.0	4.0	4.0	3.0	1.0	4.0	4.0	2.0
BOH78_2267	1.0		1.0	1.0	1.0		1.0	
BOH78_2264	1.0							
BOH78_2265	4.0	3.0	4.0	6.0	4.0	5.0	7.0	6.0
BOH78_2262			1.0	2.0			1.0	
BOH78_2263	3.0	2.0	2.0	2.0	2.0	1.0	3.0	1.0
BOH78_2261							1.0	
BOH78_2244	11.0	7.0	12.0	14.0	9.0	9.0	8.0	12.0
BOH78_2246	5.0	7.0	3.0	5.0	5.0	6.0	5.0	5.0
BOH78_2247			1.0	1.0			1.0	
BOH78_2240	3.0	1.0	1.0		2.0	2.0	1.0	2.0
BOH78_2242	2.0	1.0	1.0	2.0	1.0		3.0	1.0
BOH78_2243			1.0					
BOH78_2248	2.0	3.0	5.0	7.0	5.0	4.0	8.0	4.0
BOH78_2249				1.0				
BOH78_2406	2.0	1.0	2.0	3.0	1.0	4.0	2.0	1.0
BOH78_2404	6.0	6.0	6.0	6.0	7.0	6.0	5.0	6.0
BOH78_2408	3.0	4.0	10.0	6.0	6.0	4.0	7.0	5.0
BOH78_2405	3.0	2.0	4.0	2.0	4.0	3.0	3.0	3.0
BOH78_2402	2.0	3.0	2.0	3.0	3.0	4.0	1.0	2.0
BOH78_2398	4.0	2.0	2.0	1.0	1.0	2.0	1.0	1.0
BOH78_2399	2.0	1.0	2.0	5.0	2.0	2.0	7.0	4.0
BOH78_2392	21.0	21.0	25.0	20.0	21.0	19.0	20.0	22.0
BOH78_2393	5.0	8.0	3.0	4.0	4.0	6.0	3.0	3.0
BOH78_2390	1.0							
BOH78_2391	2.0	3.0		2.0	3.0	3.0	1.0	3.0
BOH78_2397	5.0	6.0	6.0	5.0	11.0	2.0	1.0	2.0
BOH78_2394	9.0	12.0	16.0	14.0	8.0	12.0	20.0	10.0
BOH78_2395	4.0	4.0	4.0	2.0	5.0	6.0	2.0	
BOH78_2421			1.0	1.0	1.0	1.0		
BOH78_2287			1.0	2.0				
BOH78_2312	1.0			1.0	2.0	1.0	1.0	
BOH78_2314					1.0			
BOH78_2315	28.0	25.0	26.0	19.0	27.0	30.0	36.0	24.0
BOH78_2318	1.0	2.0						
BOH78_2319	1.0	1.0	2.0	1.0	1.0	2.0	2.0	1.0
BOH78_2338	13.0	18.0	17.0	16.0	11.0	12.0	10.0	17.0
BOH78_2339	1.0	1.0			1.0	1.0		
BOH78_2330	1.0			1.0		1.0	1.0	
BOH78_2331							1.0	2.0
BOH78_2332	9.0	8.0	13.0	13.0	5.0	7.0	12.0	10.0
BOH78_2335	9.0	7.0	14.0	9.0	11.0	7.0	9.0	9.0
BOH78_2336	17.0	12.0	14.0	6.0	24.0	8.0	38.0	19.0
BOH78_2337					1.0			
BOH78_2295						1.0		
BOH78_2294	10.0	11.0	8.0	9.0	10.0	10.0	10.0	11.0
BOH78_2292	6.0	3.0	5.0	3.0	5.0	4.0	2.0	2.0
BOH78_2291	16.0	12.0	26.0	27.0	16.0	18.0	26.0	25.0
BOH78_2423	4.0	4.0	4.0	7.0	4.0	4.0	3.0	6.0
BOH78_2359	18.0	16.0	19.0	19.0	26.0	11.0	14.0	13.0
BOH78_2356	27.0	34.0	34.0	38.0	22.0	25.0	31.0	28.0
BOH78_2357	6.0	6.0	9.0	7.0	4.0	3.0	5.0	3.0
BOH78_2355		1.0		2.0				
BOH78_2353	22.0	30.0	18.0	19.0	18.0	19.0	18.0	26.0
BOH78_2351	1.0	1.0	3.0	2.0		4.0	1.0	2.0
BOH78_2311		1.0						
BOH78_2374						1.0	1.0	
BOH78_2375	1.0		3.0	3.0	1.0		5.0	3.0
BOH78_2377			1.0		1.0			
BOH78_2371	11.0	9.0	18.0	14.0	10.0	10.0	13.0	15.0
BOH78_2373			2.0				1.0	
BOH78_2233	1.0	1.0						
BOH78_2235	5.0	6.0	7.0	6.0	7.0	4.0	3.0	7.0
BOH78_2239	4.0	2.0	2.0	1.0	2.0	2.0	1.0	3.0
BOH78_2238	1.0	1.0	1.0	1.0				1.0
BOH78_2278	6.0	5.0	8.0	6.0	4.0	3.0	7.0	7.0
BOH78_2275	5.0	8.0	7.0	11.0	10.0	8.0	11.0	8.0
BOH78_2274	3.0	3.0	3.0	3.0	3.0	4.0	2.0	3.0
BOH78_2277	1.0	1.0	1.0	1.0			1.0	1.0
BOH78_2270	1.0	1.0	1.0	1.0	1.0	1.0	1.0	
BOH78_2253	5.0	1.0	2.0	1.0	5.0	1.0	2.0	
BOH78_2251	1.0	1.0	2.0	1.0	1.0	1.0	1.0	
BOH78_2257		1.0			1.0			
BOH78_2256	23.0	15.0	21.0	19.0	18.0	11.0	16.0	12.0
BOH78_2255	31.0	32.0	8.0	8.0	32.0	30.0	11.0	6.0
BOH78_2254	1.0	1.0	2.0	2.0		1.0	2.0	
BOH78_2258			1.0		1.0			
BOH78_2388						1.0		
BOH78_2380	1.0			1.0			2.0	
BOH78_2383	4.0	6.0	10.0	7.0	9.0	8.0	6.0	9.0
BOH78_2382	6.0	6.0	8.0	10.0	2.0	1.0	5.0	8.0
BOH78_2385			1.0	2.0				1.0
BOH78_2384		1.0			1.0	1.0		
BOH78_2387	1.0		3.0	2.0			7.0	1.0
BOH78_2303	2.0	1.0	1.0		2.0	1.0		
BOH78_2307	1.0	1.0	3.0	2.0	2.0	1.0	2.0	
BOH78_2309	2.0	2.0		3.0	4.0	2.0	3.0	3.0
BOH78_2327	11.0	11.0	14.0	16.0	7.0	11.0	16.0	13.0
BOH78_2326	1.0		2.0		1.0		5.0	1.0
BOH78_2325			1.0	1.0				
BOH78_2324	39.0	30.0	33.0	37.0	42.0	33.0	17.0	25.0
BOH78_2323					1.0			
BOH78_2322								1.0
BOH78_2320	3.0	2.0	3.0	3.0	2.0	1.0	1.0	3.0
BOH78_2329	5.0	8.0	7.0	6.0	5.0	4.0	9.0	7.0
BOH78_2328								1.0
BOH78_2286						1.0		
BOH78_2348	6.0	7.0	6.0	3.0	7.0	5.0	7.0	9.0
BOH78_2345	8.0	4.0	11.0	10.0	9.0	7.0	9.0	6.0
BOH78_2344	1.0			1.0	1.0	1.0	2.0	1.0
BOH78_2347			1.0				1.0	1.0
BOH78_2346	1.0	1.0	1.0	2.0		1.0	1.0	1.0
BOH78_2341	9.0	4.0	4.0	4.0	15.0	1.0	4.0	3.0
BOH78_2340			1.0	1.0		1.0	4.0	
BOH78_2343		1.0	1.0	1.0	1.0			
BOH78_2342	1.0							
BOH78_2222	1.0		1.0		1.0	1.0		1.0
BOH78_2223	18.0	22.0	24.0	22.0	17.0	19.0	20.0	19.0
BOH78_2221				1.0	1.0			
BOH78_2227	9.0	8.0	13.0	11.0	8.0	7.0	7.0	6.0
BOH78_2224	1.0	1.0	1.0	1.0	1.0			
BOH78_2225	1.0	1.0	1.0	1.0	1.0		1.0	1.0
BOH78_2228	7.0	6.0	8.0	7.0	7.0	5.0	6.0	6.0
BOH78_2229	1.0	3.0	2.0	2.0	1.0	2.0	2.0	1.0
BOH78_2209				2.0	1.0			
BOH78_2200	4.0	1.0	3.0	5.0	1.0		2.0	4.0
BOH78_2203	3.0	1.0	4.0	3.0	2.0	1.0	1.0	5.0
BOH78_2206	1.0	2.0	1.0	2.0	1.0	1.0		1.0
BOH78_2189	6.0	6.0	5.0	9.0	5.0	9.0	6.0	3.0
BOH78_2188	1.0					1.0	1.0	
BOH78_2183	8.0	1.0	7.0	5.0	3.0	2.0	8.0	6.0
BOH78_2182	29.0	36.0	34.0	39.0	24.0	25.0	31.0	29.0
BOH78_2180	2.0	4.0	4.0	4.0	3.0	1.0	3.0	1.0
BOH78_2186	17.0	17.0	25.0	25.0	12.0	12.0	25.0	27.0
BOH78_2185	22.0	30.0	18.0	19.0	17.0	19.0	18.0	26.0
BOH78_2184	2.0	4.0	2.0	3.0	4.0	2.0	5.0	4.0
BOH78_2161	1.0		3.0	3.0		1.0		1.0
BOH78_2165	6.0	4.0	7.0	7.0	2.0	6.0	5.0	3.0
BOH78_2164	1.0	5.0	3.0	1.0		1.0	1.0	1.0
BOH78_2167	2.0	2.0	6.0	5.0	3.0	1.0	4.0	2.0
BOH78_2166	3.0	2.0	3.0	3.0	2.0		2.0	4.0
BOH78_2169	12.0	11.0	10.0	13.0	7.0	10.0	6.0	8.0
BOH78_2143	2.0	1.0	5.0	4.0	5.0	3.0	2.0	1.0
BOH78_2142	4.0	3.0	4.0	5.0	3.0	2.0	1.0	1.0
BOH78_2140			1.0	1.0	2.0		2.0	
